id,likes,comments,shares,reach,engagement_rate,hashtags,post_type
75747262-159d-4380-bb50-4868501dd234,688,310,7,9372,0.1072,"#culture, #photography",carousel
a74415ca-c1ce-468e-b79c-c5ce0f541107,531,364,51,5770,0.164,#thane,carousel
0e8780a6-3892-4ac5-ac38-cdf216c79811,427,245,57,7449,0.0979,"#thane, #travel",image
c3bd5da3-56a4-49a8-bb55-b88a059f25bb,758,190,27,7549,0.1292,"#nature, #history",carousel
46153794-b48a-4de6-b881-da8fba762889,840,391,58,9175,0.1405,"#culture, #travel, #nature",reel
517d5bd4-4a2b-481d-9aee-98f5125e2d6f,883,20,29,9329,0.0999,"#history, #adventure, #heritage",reel
ccc6f882-ae69-49d2-8b26-ecbd23dc4282,905,312,50,9450,0.1341,"#culture, #photography, #heritage, #thane",video
dc52d151-cd82-41b7-abd9-a65af4c2cdda,513,479,94,2867,0.3788,"#culture, #photography, #heritage, #nature",carousel
6d1fcd84-4742-4d02-aa33-1ac94dfbbf6b,635,239,17,4068,0.219,"#travel, #thane, #culture, #nature",image
7acc2d71-a424-4f77-8619-17b3aa6221bc,591,306,97,1195,0.8318,"#history, #travel, #heritage",image
7d5a2f15-46d8-4b83-8654-9fbf37b9c140,993,121,22,9982,0.1138,"#photography, #history, #heritage, #thane",image
25c2115c-0a54-47b9-80f7-3b442ea7ea74,632,462,99,2331,0.5118,#nature,image
86dff873-a44d-41bb-9977-42256c7fd07e,506,261,47,4015,0.2027,"#nature, #travel, #history, #heritage",carousel
0261f7f4-a02b-4d67-8423-b9c2b089fd7c,926,329,43,4381,0.2963,#travel,reel
e0f6d5e4-1758-4b5f-8c87-4287b7172927,352,208,15,7569,0.076,"#history, #photography",image
df7d2134-6e96-4faa-b210-eb481cdd0b9e,755,192,30,4183,0.2336,"#thane, #culture, #travel, #photography",image
5ee3567e-2b85-46ce-8bd4-de42ababd7a9,354,316,60,9882,0.0739,#photography,video
0d41cd2c-448e-4ea4-8404-b1b7b58f3842,460,431,23,3318,0.2755,"#photography, #history",reel
9f51f066-63e8-4863-b1a2-90c817f81b06,107,418,46,6289,0.0908,"#history, #adventure, #photography",image
cab63aa0-4ed9-4529-8c1b-fc6953649ac7,427,478,36,5906,0.1593,"#photography, #travel, #adventure",carousel
7fd18b71-b45c-46aa-83c8-4bc0f82200a6,203,487,58,7546,0.0991,"#adventure, #heritage",reel
96326723-0a37-411c-a490-b8ebea9d9692,912,300,25,9875,0.1253,"#travel, #adventure, #history, #heritage",reel
12e974ea-39b8-470e-81b6-db284c7758ca,397,437,84,8313,0.1104,#history,video
4df6524f-0fb0-49ce-8bca-7b587d95e3a9,635,329,84,5260,0.1992,#history,carousel
6e7f41e5-ddb6-4072-ba19-054508e5cdcb,380,326,55,1147,0.6635,"#thane, #travel",reel
a973b9a8-ca01-4d7f-a68b-a67dfc3f22ec,828,201,74,4044,0.2727,"#travel, #history, #heritage",video
e20b053e-7ab8-4492-ae99-177cf76143ac,890,314,53,5754,0.2185,"#nature, #heritage, #travel, #adventure",image
d772927c-8745-4389-a881-e2608597fe3d,913,99,88,4027,0.2732,"#travel, #photography, #thane, #history",video
c3ab0b9f-a885-4a65-a979-625256b37c7a,143,192,74,9713,0.0421,"#adventure, #heritage",reel
aead2374-2484-4604-942f-58ab9f6eab55,620,248,25,6610,0.1351,"#nature, #photography, #heritage, #thane",image
c6ec0d83-078d-4b43-bf18-c406328870b4,71,131,96,6570,0.0454,#adventure,video
3203ae6c-9e8b-466a-a92a-05104bf63bf4,86,457,69,1329,0.4605,"#thane, #history",reel
63c72023-6ef3-426d-a8ae-294ef443f7ff,733,149,37,8402,0.1094,"#history, #travel, #photography",reel
20c583c8-9685-4229-beb8-495140f37b8e,477,493,35,2640,0.3807,"#thane, #history",video
242b935c-b635-43de-96ea-d3fa1bb43c48,542,315,96,3479,0.2739,"#photography, #thane",image
94da8715-330f-4463-ba88-b2c63109eb6a,924,338,57,6216,0.2122,"#travel, #history, #nature, #photography",carousel
fe687870-e16f-43bd-821f-98de4146e640,809,334,49,3599,0.3312,"#travel, #heritage, #photography",image
ebfc319d-57af-4f6e-b946-65f49140520b,802,372,86,4250,0.2965,#photography,carousel
9db12c00-9c0e-405b-8d23-2bac4899abdc,826,450,47,8934,0.1481,#culture,video
a890af05-4613-4641-96b8-a4a696972dce,806,299,96,6187,0.1941,"#history, #photography, #heritage",reel
9a79300f-2946-4a64-835c-7e0ddd37145f,422,136,19,8480,0.068,"#history, #heritage, #photography, #travel",image
b2e1f922-1b88-46a0-b50a-c7854dcb42fa,884,494,58,6861,0.2093,"#heritage, #thane, #culture",video
c666fca8-0bd0-40fa-bcd7-78d7081ad91b,66,278,19,3050,0.119,"#travel, #adventure, #heritage, #photography",carousel
449074ad-9b6b-4076-b54a-c87473f6a8ff,837,13,58,7052,0.1288,"#travel, #photography, #heritage",carousel
c16886cb-e577-464b-8156-a89eafe15a8a,506,477,39,7855,0.1301,"#photography, #heritage",image
d52aa839-df36-4ebc-9cab-b1e8e5cb0576,633,269,79,4539,0.2161,#photography,image
d426a8d9-5f3d-47a0-b3c4-c7fdf2a08c95,107,44,77,6226,0.0366,"#nature, #adventure, #thane",carousel
ad55d8aa-05b4-4365-a778-a2e431784261,124,337,16,3209,0.1486,#heritage,video
